owner,type,violations,buildings,viol_per_bldg,top_category,top_district,d1,d2,d3,d4,d5,d6,d7,d8,d9
LUNASOL HOLDINGS LLC,LLC,35,2,17.5,Uncategorized,1,25,0,0,0,0,0,10,0,0
TKLB HOLDINGS LLC,LLC,35,3,11.7,Uncategorized,6,6,0,0,0,0,29,0,0,0
2311 LEMON LLC,LLC,35,1,35.0,Uncategorized,1,35,0,0,0,0,0,0,0,0
630 CEDAR AVENUE LLC,LLC,35,1,35.0,Uncategorized,1,35,0,0,0,0,0,0,0,0
AIR PRODUCTS AND CHEMICALS INC,Corporation,35,2,17.5,Other,1,35,0,0,0,0,0,0,0,0
SUKH MAYA PROPERTIES LLC,LLC,35,3,11.7,Uncategorized,9,5,0,0,0,0,10,0,0,20
909 PINE AVE HOLDINGS LLC,LLC,35,1,35.0,Other,1,35,0,0,0,0,0,0,0,0
1401 E OCEAN BLVD INVESTORS LP,Limited Partnership,35,1,35.0,Uncategorized,2,0,35,0,0,0,0,0,0,0
NEW CENTURY PROPERTY 6 LLC,LLC,35,1,35.0,Uncategorized,3,0,0,35,0,0,0,0,0,0
FF PROPERTIES LP LESSOR,Limited Partnership,35,4,8.8,COVID,5,0,0,0,0,35,0,0,0,0
STRUCTURE PROPERTIES LLC,LLC,35,1,35.0,Uncategorized,6,0,0,0,0,0,35,0,0,0
BEATY LLC,LLC,35,1,35.0,COVID,6,0,0,0,0,0,35,0,0,0
CENTRAL CITY INVESTMENTS LLC,LLC,35,2,17.5,Uncategorized,7,0,0,0,0,0,12,23,0,0
SOUTH BAY SHORE LP,Limited Partnership,35,1,35.0,Uncategorized,8,0,0,0,0,0,0,0,35,0
TOPLESS MAIDS INC,Corporation,35,1,35.0,Other,9,0,0,0,0,0,0,0,0,35
ARTESIA VILLAGE LLC,LLC,35,1,35.0,Other,9,0,0,0,0,0,0,0,0,35
GELT ON 3RD LB LLC,LLC,34,1,34.0,Uncategorized,1,34,0,0,0,0,0,0,0,0
1643 PACIFIC LP,Limited Partnership,34,1,34.0,Uncategorized,1,34,0,0,0,0,0,0,0,0
1002 32ND STREET LLC,LLC,34,3,11.3,Uncategorized,1,18,0,0,0,0,13,0,0,3
316 INC,Corporation,34,1,34.0,Graffiti,1,34,0,0,0,0,0,0,0,0
MINERVA INVESTMENT GROUP LLC,LLC,34,3,11.3,Uncategorized,1,18,16,0,0,0,0,0,0,0
KGP II LLC,LLC,34,3,11.3,Uncategorized,1,21,0,0,0,0,13,0,0,0
FTI HOLDINGS INC,Corporation,34,2,17.0,Uncategorized,2,0,34,0,0,0,0,0,0,0
SVPP PROPERTIES LLC AND,LLC,34,1,34.0,Uncategorized,2,0,34,0,0,0,0,0,0,0
EMERALD CIRCLE PROPERTIES LLC,LLC,34,1,34.0,Uncategorized,2,0,34,0,0,0,0,0,0,0
FRISCHER LB SOUTH LLC,LLC,34,2,17.0,Uncategorized,6,0,13,0,0,0,21,0,0,0
KUVE LTD,Limited Partnership,34,4,8.5,Uncategorized,4,0,1,16,17,0,0,0,0,0
ARSAB INVESTMENTS LLC,LLC,34,2,17.0,Uncategorized,3,0,0,34,0,0,0,0,0,0
SPP CHANNEL POINT LLC,LLC,34,10,3.4,Uncategorized,3,0,0,34,0,0,0,0,0,0
NEW CENTURY PROPERTY 12 LLC,LLC,34,1,34.0,Uncategorized,3,0,0,34,0,0,0,0,0,0
"CUTULI,DIANA C CO TR  S L AND D",Corporation,34,1,34.0,COVID,3,0,0,34,0,0,0,0,0,0
GERSCHULTZ PROPERTIES II LLC,LLC,34,2,17.0,COVID,3,0,0,34,0,0,0,0,0,0
SHREE GANESH INC,Corporation,34,1,34.0,Uncategorized,6,0,0,0,0,0,34,0,0,0
JDK CEDAR LLC,LLC,34,1,34.0,Uncategorized,7,0,0,0,0,0,0,34,0,0
1550-1570 COTA AVENUE LLC,LLC,34,2,17.0,Other,7,0,0,0,0,0,0,34,0,0
